listing_name,category,tags,description,medium,height,width,year,status,url,image_urls
"Peace – Burial at Sea, after William Turner",Painting,Painting,Lukas Hauser's interpretation of Joseph Mallord William Turner' Peace - Burial at Sea.,Oil on Canvas,50,70,2018,Sold,https://exhybyt.com/artworks/4,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBDUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--83b5dd2a3fe143c0400b96b61a84b1939dc287ac/photo.jpg
Lit,Painting,Painting,This painting is based on a photograph that I took when I was on a surf holiday in Nicaragua.,Oil on Canvas,50,70,2018,For Sale,https://exhybyt.com/artworks/5,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBDZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--94dc537ef811137482f1131b5058c9b27df58405/photo.jpg
"Skull of a Skeleton with Burning Cigarette, after van Gogh",Painting,Painting,"My interpretation of Vincent Van Gogh's ""Skull of a Skeleton with Burning Cigarette""",Oil on Canvas,60,50,2018,For Sale,https://exhybyt.com/artworks/6,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBMZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--61d69d17303032d4755437fb05e3df03fb1e793c/Skull%20Cigarette%20Painting.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBMdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3687f2b00d9212d08a3a4df34d4333a2e351bd95/Skull%20Detail%20Face.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBNQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3d4267c25f1a0b140dfc2ef959ee62bc9f7319ff/Skull%20Detail%20Head.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBNUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--27db2205911e68485570102a176e399d16d9cacc/Skull%20Detail%20Cigarette.jpg
Contemporary Henry VIII,Painting,Painting,"AKA Donald J. Trump. My interpretation of ""Portrait of Henry VIII"" by Hans Holbein the Younger. It's framed in a gold-stained wooden floater frame.",Oil on Canvas,60,50,2017,For Sale,https://exhybyt.com/artworks/7,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBNZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cd6a6c01334da7488bcbf7dee0e4e160cf72bd00/Contemporary%20Henry%20VIII%20Painting.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBNdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2081c40ca864f9481a27535c70482a1732b1a57f/Henvry%20VIII%20Detail%20Face.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBOQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7bf7a88fd018857c16f9fa21c60aa0085dcf5ac2/Henry%20VIII%20Detail%20Hand.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBOUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8f10cb9affcd31310c70438f1a26cf4bec4c5f12/Henry%20VIII%20Detail%20Hat.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBOZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--acf26648744f0dd6fb94533e4a0839a11cebea18/Henry%20VIII%20Detail%20Arm.jpg
"Metamorphosis of Narcissus, after Salvador Dali",Painting,Painting,"My interpretation of Metamorphosis of Narcissus by after Salvador Dali. Quite a bit darker... When you look from different angles, you can see the blues and other colours from the background shine through the top glaze.",Oil on Canvas,76,102,2017,For Sale,https://exhybyt.com/artworks/8,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBQQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f1580923d6bb5a2dd54ab75a11db3ead370b5cfc/Narcissus%20Painting.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBQUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bdb0b5c83e7c9bd51e4fe99f1d55bbd642ffbc73/Narcissus%20Detail%201.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBQZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b8548c69d3b7edb42016d9b9473875ba766dc77d/Narcissus%20Detail%202.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBQdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fa95b12fabe5651da4bc92818f65a72f0f1805fe/Narcissus%20Detail%203.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBRQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3a6dcf085e45f2d8544d547e2a8dde3f1f253aa8/Narcissus%20Detail%204.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBRUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8a5320d3c2b2b2a70a66651e0bde012a6fe24a84/Narcissus%20Detail%205.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBRZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--681356f6999beb5cb738a9c1f9d70bd375411254/Narcissus%20Detail%206.jpg
"Exploding Sunflowers, after Vincent Van Gogh",Painting,Painting,"While I was on the quest to discover my own artistic style, I was trying to paint like big masters, while adding a twist. This is one of my earlier paintings, where I was experimenting with thick impasto.",Oil on Canvas,60,50,2017,For Sale,https://exhybyt.com/artworks/9,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBKdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8b8a1e7b596c251b313d5931bb40e52209828347/Exploding%20Sunflower%20Vase.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBLQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--432cdd721a5185a92dda33766d64709f99d9a9ce/Exploding%20Sunflower%20Vase%20-%20Detail%201.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBLUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e1e706686a43282b61b132e82145b50ab315e29c/Exploding%20Sunflower%20Vase%20-%20Detail%202.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBLZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6e1321cf4c6b6f89f7eb8aaf96d6aa4c83ac183c/Exploding%20Sunflower%20Vase%20-%20Detail%203.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBLdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9844f0c75ad36e019581435dac8dfd9cfe47e4b5/Exploding%20Sunflower%20Vase%20-%20Detail%204.jpg
Escaping the Gilded Cage,Painting,Painting,"Have you ever felt like you are trapped in the gilded cage?
This was the title piece of Lukas’ debut exhibition.",Oil on Canvas,100,80,2018,For Sale,https://exhybyt.com/artworks/10,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBEdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--406977cb98f3bf3cc1931536b8be4c1ae65ab4ec/photo.jpg
"Only from inside, a hamster wheel looks like a career ladder",Painting,Painting,"Only from inside, the hamster wheel looks like a career ladder.",Oil on Canvas,20,25,2016,Sold,https://exhybyt.com/artworks/11,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBFQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5ae178e373102491252f4aa7b5c698283fc2404c/photo.jpg
My first ever self portrait,Painting,Painting,"This was my first ever self portrait, before I took any painting classes. My goal was to create a piece where I can capture my likeness.",Oil on Canvas,60,51,2017,For Sale,https://exhybyt.com/artworks/12,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBOdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bb4808459a7deeec51bca3d339dbc342de272e4f/Self%20Portrait%20Painting.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBPQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6ca84cbca8201aa2e058f2ba35c9e1fae8c8222f/Self%20Portrait%20Detail%20Collar.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBPUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c900067bb8128be54d9fecafb8d2fa8215799497/Self%20Portrait%20Detail%20Hair.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBPZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5c2348840d43bc6244563897e15c9894199dcc22/Self%20Portrait%20Detail%20Head.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBPdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--56cab1a1831bfbd799971a1f81182713489ae96a/Self%20Potrait%20Detail%20Jacket.jpg
Portrait of Lisa,Painting,Painting,Painted off a poorly lit photograph during a painting holiday with my dad and friends.,Oil on Canvas,60,50,2018,Not For Sale,https://exhybyt.com/artworks/13,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBFZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fa9bfb989e2921b5bce47c91cb9f322040d5ac10/photo.jpg
Wasted Water Lily Pond,Painting,Painting,Inspired by Claude Monet's Water Lily Pond Paintings... with a twist.,Oil on Canvas,40,50,2016,Not For Sale,https://exhybyt.com/artworks/14,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBFdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a034b2df5999056f9264eb80f0d2769af18f6a5c/photo.jpg
Barrie,Painting,Painting,"I had the honour of painting Barrie last during Charlie Schaffer's painting class. He was such a great model and so much fun talking to. He had a very positive spirit and brightened up the class.
",Oil on Canvas Board,40,30,2018,For Sale,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2018/08/IMG_7570-e1536338348250.jpeg
Face Study III,Painting,Painting,"When I painted “Face Study III”, I was experimenting with bold brush strokes. This was one of the life studies that I created before painting the portrait of Barrie during Charlie Schaffer's portrait summer course at The Art Academy in 2018. That was a very intense, but also very insight...",Oil on Canvas Board,40,30,2018,Not For Sale,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2018/08/IMG_7572.jpeg
Figure Study with Cushions,Painting,Painting,"I painted “Figure Study with Cushions” during my first painting course the Art Academy London. That was also my first time painting from life models. The course was taught by James Bland who isn’t only a great tutor who helped me massively to see colours and tones, but he’s also an amazing artist.",Oil on Canvas Board,30,40,2018,Not For Sale,https://exhybyt.com/artworks/17,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBGZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3c5a06cd656af40cee48850b3f4ba222efe87506/photo.jpg
Alex,Painting,Painting,This was my first time painting off a live model. It comes in a white wooden floater frame.,Oil on Canvas,60,50,2017,For Sale,https://exhybyt.com/artworks/18,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBMQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fb7fc27b585554b3c919577b04112442447b1836/Alex%20Painting.jpg https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBMUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2d3aeef9995b65090a33959b4a27107992d0c4a7/Alex%20Painting%20Detail.jpg
Paper Cups and our Throw-Away Society,Digital,"Digital Art, NFT",,,,,2016,,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2017/01/Paper-Coffee-Cups-1.jpg
